dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,121.684250,167.998108,102.789254,19.054041,-78.648744,0.000000,0.000780
0.020000,122.049601,167.998395,103.154605,17.481066,-78.648744,0.000000,0.000792
0.020000,122.383492,167.998661,103.488497,15.908091,-78.648744,-0.000000,0.000802
0.020000,122.685924,167.998905,103.790929,14.335116,-78.648744,0.000000,0.000812
0.020000,122.956897,167.999126,104.061902,12.762142,-78.648744,0.000000,0.000821
0.020000,123.196410,167.999324,104.301415,11.189167,-78.648744,0.000000,0.000828
0.020000,123.404463,167.999497,104.509468,9.616192,-78.648744,-0.000000,0.000835
0.020000,123.581057,167.999645,104.686062,8.043217,-78.648744,0.000000,0.000841
0.020000,123.726192,167.999767,104.831197,6.470242,-78.648744,0.000000,0.000846
0.020000,123.839867,167.999864,104.944872,4.897267,-78.648744,-0.000000,0.000849
0.020000,123.922082,167.999934,105.027088,3.324292,-78.648744,0.000000,0.000852
0.020000,123.972839,167.999977,105.077844,1.751317,-78.648744,-0.000000,0.000854
0.020000,123.995176,167.999996,105.100181,0.482415,-63.445121,760.181144,0.000854
0.020000,124.000000,168.000000,105.105005,0.000000,-24.120749,1966.218598,0.000854
0.020000,124.000000,168.000000,105.105005,0.000000,0.000000,1206.037454,0.000854
